taxid,species,genus,family,superfamily,infraorder,suborder,order,cohort,infraclass,subclass,class,subphylum,display.taxon
114398,Parasteatoda tepidariorum,Parasteatoda,Theridiidae,Araneoidea,NA,Araneomorphae,Araneae,NA,NA,NA,Arachnida,Chelicerata,outgroup
6928,Cupiennius salei,Cupiennius,Ctenidae,Lycosoidea,NA,Araneomorphae,Araneae,NA,NA,NA,Arachnida,Chelicerata,outgroup
6945,Ixodes scapularis,Ixodes,Ixodidae,Ixodoidea,NA,NA,Ixodida,NA,NA,Acari,Arachnida,Chelicerata,outgroup
109461,Varroa destructor,Varroa,Varroidae,Dermanyssoidea,Gamasina,Monogynaspida,Mesostigmata,NA,NA,Acari,Arachnida,Chelicerata,outgroup
218467,Centruroides sculpturatus,Centruroides,Buthidae,Buthoidea,NA,NA,Scorpiones,NA,NA,NA,Arachnida,Chelicerata,outgroup
6850,Limulus polyphemus,Limulus,Limulidae,NA,NA,NA,Xiphosura,NA,NA,NA,Merostomata,Chelicerata,outgroup
6661,Artemia franciscana,Artemia,Artemiidae,NA,NA,NA,Anostraca,NA,NA,Sarsostraca,Branchiopoda,Crustacea,outgroup
35525,Daphnia magna,Daphnia,Daphniidae,NA,Anomopoda,Cladocera,Diplostraca,NA,NA,Phyllopoda,Branchiopoda,Crustacea,outgroup
6669,Daphnia pulex,Daphnia,Daphniidae,NA,Anomopoda,Cladocera,Diplostraca,NA,NA,Phyllopoda,Branchiopoda,Crustacea,outgroup
88015,Eurytemora affinis,Eurytemora,Temoridae,NA,NA,NA,Calanoida,NA,Neocopepoda,Copepoda,Hexanauplia,Crustacea,outgroup
1232801,Amphibalanus amphitrite,Amphibalanus,Balanidae,NA,NA,NA,Sessilia,NA,Cirripedia,Thecostraca,Hexanauplia,Crustacea,outgroup
72036,Lepeophtheirus salmonis,Lepeophtheirus,Caligidae,NA,NA,NA,Siphonostomatoida,NA,Neocopepoda,Copepoda,Hexanauplia,Crustacea,outgroup
6728,Procambarus clarkii,Procambarus,Cambaridae,Astacoidea,Astacidea,Pleocyemata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
95602,Eriocheir sinensis,Eriocheir,Varunidae,Grapsoidea,Brachyura,Pleocyemata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
159736,Macrobrachium nipponense,Macrobrachium,Palaemonidae,Palaemonoidea,Caridea,Pleocyemata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
79674,Macrobrachium rosenbergii,Macrobrachium,Palaemonidae,Palaemonoidea,Caridea,Pleocyemata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
27406,Cherax quadricarinatus,Cherax,Parastacidae,Parastacoidea,Astacidea,Pleocyemata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
6689,Penaeus vannamei,Penaeus,Penaeidae,Penaeoidea,NA,Dendrobranchiata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
85552,Scylla paramamosain,Scylla,Portunidae,Portunoidea,Brachyura,Pleocyemata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
13347,Armadillidium vulgare,Armadillidium,Armadillidiidae,NA,NA,Oniscidea,Isopoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
6706,Homarus americanus,Homarus,Nephropidae,Nephropoidea,Astacidea,Pleocyemata,Decapoda,NA,NA,Eumalacostraca,Malacostraca,Crustacea,outgroup
48709,Orchesella cincta,Orchesella,Orchesellidae,Entomobryoidea,NA,NA,Entomobryomorpha,NA,NA,NA,Collembola,Hexapoda,Collembola
158441,Folsomia candida,Folsomia,Isotomidae,Isotomoidea,NA,NA,Entomobryomorpha,NA,NA,NA,Collembola,Hexapoda,Collembola
6973,Blattella germanica,Blattella,Ectobiidae,Blaberoidea,NA,NA,Blattodea,Polyneoptera,Neoptera,Pterygota,Insecta,Hexapoda,Blattodea
