"gene","process","group","species","taxa","polytomy","paraphyly","MCI","MCI.ci","nCID","nCID.ci","seq.identity","info.sites"
"AATS","reference","reference",93,44,0.674418604651163,0.0909090909090909,5.56210489146004,1.27838096061225,0.562969724921056,0.899664240028237,0.520727905820088,0.901730103806228
"AcCoA","reference","reference",91,40,0.684210526315789,0.05,4.75167902903841,1.24006616879429,0.601437868637778,0.896192360103327,0.596773500527302,0.78159509202454
"ADA","reference","reference",65,31,0.714285714285714,0,4.25938773316413,1.08807535642791,0.583636385585114,0.893638471879255,0.392291445818357,0.714285714285714
"ArgK","reference","reference",101,44,0.902439024390244,0,1.61383699708741,0.46548472856111,0.848121218949042,0.956193064541655,0.802103382893143,0.548556430446194
"Arr2","reference","reference",95,43,0.790697674418605,0.13953488372093,3.27361333921686,0.88891915927578,0.71917771691498,0.924156194098051,0.633647400088021,0.644295302013423
"CAD","reference","reference",92,41,0.435897435897436,0.0487804878048781,9.95280795084058,2.05881646106128,0.344805727684012,0.864478475917132,0.553954864386752,0.810042818217205
"Cda4","reference","reference",78,39,0.694444444444444,0,6.30547520556092,1.23138344753801,0.483733070835914,0.899179279854549,0.597999353097886,0.62303664921466
"chinmo","somatic sex","sex determination",77,42,0.641025641025641,0,6.0050365514255,1.36208383725448,0.533696227775173,0.894231313005504,0.308600176626684,0.912403100775194
"Cp1","reference","reference",83,36,0.848484848484849,0,2.01321012099032,0.659249539136057,0.797303638814564,0.93362467171071,0.596521470171546,0.458536585365854
"CTR9","reference","reference",92,43,0.725,0,5.19390344390222,1.11238686834992,0.577935651595435,0.909605782272463,0.515602290531153,0.881975625400898
"CycC","reference","reference",85,38,0.885714285714286,0,2.7395262647446,0.535168227384196,0.740714017171899,0.949348315582358,0.781492168792465,0.554385964912281
"CycE","reference","reference",53,26,0.608695652173913,0,5.71124625457749,1.39998887062067,0.433244404421038,0.861072086405556,0.312698297760932,0.835051546391753
"DDC","reference","reference",92,43,0.69047619047619,0.0930232558139535,5.00261856549373,1.20638452619663,0.597506139982251,0.903368966833827,0.678968819280577,0.520408163265306
"dmrt11E","other DMRT",NA,48,27,0.75,0,3.44752137207801,0.973818026792104,0.61964140229747,0.892560474871014,0.277983086029132,0.846830985915493
"dmrt93B","other DMRT",NA,73,35,0.625,0,5.67076391620121,1.43102775976879,0.517174994085397,0.878158216990776,0.271611258251869,0.894664842681259
"dmrt99B","other DMRT",NA,74,36,0.676470588235294,0.0555555555555556,4.77821588738098,1.24308121539951,0.583786498095421,0.891598577680061,0.291900820494143,0.849104859335038
"DNApol-d","reference","reference",92,44,0.536585365853659,0,8.24779942310524,1.74714230343338,0.434132096438505,0.880131450614832,0.6386403011914,0.629310344827586
"dpn","somatic sex","sex determination",70,37,0.794117647058824,0,3.49466601376278,0.851431300212593,0.674532832507448,0.920704029368369,0.249540719926581,0.846645367412141
"dsx_OD1","somatic sex",NA,74,39,0.944444444444444,0,0.683061820228142,0.291652872723121,0.927943015723896,0.969233199921976,0.597596741531401,0.0447761194029851
"dsx_OD2","somatic sex",NA,49,28,0.884615384615385,0.0714285714285714,1.17888565983382,0.544356092432858,0.851497299703571,0.931424434754069,0.369941416279848,0.217391304347826
"dsx","somatic sex","sex determination",74,39,0.833333333333333,0,2.29729936026756,0.716993896914541,0.778193526395581,0.930773546268701,0.166546100900016,0.900096061479347
"EcR","reference","reference",97,45,0.720930232558139,0.0444444444444444,5.09618328695139,1.13950786775084,0.592757494209709,0.909034020734869,0.396411565883481,0.895632864544782
"EF1a1","reference","reference",103,46,0.977272727272727,0.0434782608695652,0.0322710041432076,0.116926820932792,0.996847318724059,0.98857695913724,0.826383802825533,0.337552742616034
"EF2","reference","reference",97,48,0.866666666666667,0,2.83734090401983,0.611098820230547,0.757511873658417,0.947773562310642,0.81572404511372,0.498831775700935
"eIF3a","reference","reference",78,39,0.5,0,8.6241388971658,1.79532826101675,0.363947029195812,0.867589809532903,0.468112123836838,0.928396572827417
"eRF1","reference","reference",86,38,0.972972972972973,0.105263157894737,0.149926013455322,0.152478169858054,0.98351534084551,0.983234726244759,0.802879820324989,0.609561752988048
"Fen1","reference","reference",80,38,0.828571428571429,0,2.79047734015688,0.740004371782168,0.732553439534404,0.929076068415048,0.656092940510946,0.514150943396226
"fl2d","somatic sex","sex determination",92,42,0.666666666666667,0,5.67193128201755,1.305687251987,0.542928107156834,0.894781351526775,0.300567414562108,0.922211808809747
"fru","somatic sex","sex determination",86,42,0.743589743589744,0,4.60462187058838,1.03176880803812,0.611901506666847,0.913037827834369,0.219257590111716,0.908735332464146
"Gel","reference","reference",67,36,0.631578947368421,0.277777777777778,5.91845577739044,1.45101890281939,0.491100346835191,0.875508676359444,0.342865590472343,0.866158868335147
"HDAC1","reference","reference",92,42,0.75,0.0476190476190476,3.6075455508293,0.995745401074343,0.685072671226037,0.913281499271918,0.743560844232958,0.568457538994801
"Iap2","reference","reference",44,24,0.714285714285714,0,2.96986994803183,1.06180178733201,0.631484173761283,0.868246499069862,0.282408609163892,0.839464882943144
"IDH","reference","reference",92,43,0.928571428571429,0.0930232558139535,0.855394784920866,0.358250696775527,0.916896512022574,0.965369100743182,0.719608856914771,0.650095602294455
"ix","somatic sex","sex determination",75,41,0.815789473684211,0,3.19662111051813,0.783867671150658,0.718390322028286,0.930944358179067,0.417214717084101,0.724907063197026
"kkv","reference","reference",83,39,0.421052631578947,0.102564102564103,9.69909681359361,1.99058057066324,0.320253940321994,0.860503818282522,0.613051634841058,0.7
"mle","dosage comp",NA,88,41,0.526315789473684,0,8.56304152592349,1.75764692626257,0.380983807813873,0.872940951622284,0.524399474534009,0.91264667535854
"mof","dosage comp",NA,88,41,0.85,0.0975609756097561,2.98486541947789,0.641472775644232,0.724760713087649,0.941065370318629,0.581474948147589,0.806962025316456
"mp20","reference","reference",80,34,0.84375,0.0588235294117647,1.50295952388983,0.642274434995689,0.834926565125146,0.929712577607184,0.66916873427252,0.297297297297297
"msl1","dosage comp",NA,42,22,0.684210526315789,0,3.09712896286045,1.10855240616427,0.621215838962961,0.864422147682636,0.152137603799091,0.919385796545106
"msl2","dosage comp",NA,50,29,0.653846153846154,0,4.18656260016679,1.25652476923084,0.572866589145035,0.871803252032125,0.240375025072776,0.900967982129561
"msl3","dosage comp",NA,60,29,0.615384615384615,0,5.38150581802285,1.37034239309616,0.497395314974248,0.872017139784014,0.333685990488868,0.897406989853439
"nclb","germline sex","sex determination",86,41,0.710526315789474,0,5.48020806718074,1.14235272039136,0.549462493684242,0.90608518149879,0.345415036107913,0.672202797202797
"Npl4","reference","reference",82,41,0.605263157894737,0,6.80604498196213,1.46681734829325,0.472337406746437,0.886279822146195,0.482659977570349,0.916666666666667
"otu","germline sex","sex determination",67,36,0.606060606060606,0,5.22725501237077,1.43651997798019,0.571931013228024,0.882360885398475,0.180399321215853,0.953616786305908
